trackid,trackname,artist,artistid,genres,main_genre,danceability,energy,loudness,speechness,acousticness,instrumentalness,liveness,valence,tempo
69WMdZSqdQwFgLVpbMsZ2J,win,jay rock,28ExwzUQsvgJooOI0X1mr3, conscioushiphop gangsterrap hiphop poprap rap southernhiphop trap undergroundhiphop ,rock,0.879,0.595,-2.936,0.0889,0.0152,0.0,0.391,0.355,125.994
4anqYZt4APNlFwQixpbdZR,da rockwilder,method man,4VmEWwd8y9MCLwexFMdpwt, eastcoasthiphop gangsterrap hardcorehiphop hiphop rap southernhiphop ,rock,0.612,0.659,-6.995,0.406,0.0137,0.0,0.417,0.393,99.137
7nemcVsXVFZF01iqpIIo2Y,it's a long way to the top (if you wanna rock 'n' roll),ac/dc,711MCceyCBcFnzjGY4Q7Un, albumrock australianrock hardrock rock ,rock,0.456,0.863,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962
1j6kDJttn6wbVyMaM42Nxm,lord pretty flacko jodye 2 (lpfj2),a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.485,0.72,-5.991,0.127,0.0123,0.0,0.0546,0.0471,207.982
2uX5f3x2cObov0iDAPln4o,song of the south,alabama,6rJqqRce0Kvo2dJUXoHleC, country countryroad countryrock ,rock,0.486,0.633,-8.414,0.0365,0.176,0.0,0.312,0.669,162.158
4gphxUgq0JSFv2BCLhNDiE,jailhouse rock,elvis presley,43ZHCT0cAZBISjO8DG9PnE, adultstandards rock-and-roll rockabilly ,rock,0.647,0.582,-9.538,0.0755,0.41,1.93e-06,0.0715,0.915,167.396
03eJ2DclFWXYU8GWgANdmZ,bad vibes forever,xxxtentacion,15UsOTVnJzReFVN1VCnxy4, emorap miamihiphop ,rock,0.8,0.526,-5.153,0.0716,0.334,0.00174,0.0571,0.746,129.874
7s0lDK7y3XLmI7tcsRAbW0,my songs know what you did in the dark (light em up),fall out boy,4UXqAaa6dQYAk18Lv7PEgX, emo modernrock poppunk ,rock,0.558,0.924,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99
19LT4ZUEeoUdimKE04WJJg,cowboy,kid rock,7dOBabd5O4CvKrg4iriHTM, alternativemetal numetal rock ,rock,0.608,0.897,-2.921,0.291,0.085,0.0,0.108,0.868,166.652
74tQaH4CxM5Rs9BzerEbHr,"introducing me - from ""camp rock 2: the final jam""",nick jonas,4Rxn7Im3LGfyRkY2FlHhWi, dancepop pop popdance post-teenpop viralpop ,rock,0.513,0.496,-6.049,0.0511,0.46,0.0,0.106,0.676,113.072
5f7MdwR02i1Lxy9TLi80SA,mazza (feat. a$ap rocky),slowthai,3r1XkJ7vCs8kHBSzGvPLdP, hiphop rap ukhiphop ,rock,0.672,0.63,-6.841,0.285,0.0791,0.0,0.167,0.354,75.286
5lcyIeEfwZTs8Ajw3kdF7P,crack rock,frank ocean,2h93pZq0e7k5yf4dywlkpM, alternativer&b hiphop lgbtq+hiphop neosoul pop ,rock,0.429,0.736,-8.017,0.222,0.0696,0.0,0.0852,0.379,89.262
0gV5B7zmJkS1aaH9APokrH,wow freestyle (feat. kendrick lamar),jay rock,28ExwzUQsvgJooOI0X1mr3, conscioushiphop gangsterrap hiphop poprap rap southernhiphop trap undergroundhiphop ,rock,0.782,0.633,-4.644,0.341,0.0355,0.0,0.0615,0.749,150.055
0f37VQs969vZUL4gVfHRV9,bawitdaba,kid rock,7dOBabd5O4CvKrg4iriHTM, alternativemetal numetal rock ,rock,0.551,0.939,-5.371,0.171,0.00172,0.000239,0.109,0.367,90.592
4AEzAEnbm9uRgbmTdeI63K,middle child,pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.75,0.567,-6.4,0.48,0.137,0.0,0.109,0.398,151.895
3lG6OtGDsYAOALxEmubQQm,happiness is a butterfly,lana del rey,00FQb4jTyendYWaN8pK0wa, artpop dancepop pop ,rock,0.456,0.126,-10.883,0.0444,0.966,1.77e-06,0.107,0.162,68.614
3nKLfeoq3YedJIZqvRW3Qz,i don't need your rockin' chair - version w/special guests,mark chesnutt,2cNV8vNe2fPFf6OfGOBbSS, contemporarycountry country countryroad countryrock ,rock,0.68,0.589,-10.01,0.0247,0.152,0.0,0.378,0.696,93.865
6WXdlIUbsqFSS6T63eCBxx,simple man - rock version,shinedown,70BYFdaZbEKbeauJ670ysI, alternativemetal modernrock numetal post-grunge ,rock,0.532,0.625,-4.95,0.0293,0.064,0.0,0.223,0.225,120.853
1IYaMVfidzSfvCUZYXhsU1,party like a rock star,shop boyz,3v3clM1KQgVfpPjKJFPAmx, atlhiphop dirtysouthrap poprap southernhiphop ,rock,0.619,0.709,-4.633,0.0395,0.00541,0.0,0.507,0.68,144.972
0RyA3o15NOLJYtm9NlDu5c,"frat rules (feat. a$ap rocky, playboi carti & big sean)",a$ap mob,7yO4IdJjCEPz7YgZMe25iS, hiphop rap southernhiphop trap vaportrap ,rock,0.635,0.777,-6.018,0.231,0.181,0.0,0.357,0.177,128.09
7cVmKBwzPsh4Fmb6SplfEm,"lean wit it, rock wit it",dem franchize boyz,0VKTLKamj4IH8OfQbUL0kq, atlhiphop crunk dirtysouthrap gangsterrap poprap rap southernhiphop trap ,rock,0.886,0.62,-5.854,0.307,0.082,0.0,0.1,0.6,76.035
7cWh3ScxjhvasLI0CBRoZk,i like girls (feat. lil skies),pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.702,0.775,-3.462,0.248,0.324,0.0,0.114,0.784,178.199
1AH60dMaEfNjzDoUIFwIQi,beast mode (feat. pnb rock & youngboy never broke again),a boogie wit da hoodie,31W5EY0aAly4Qieq6OFu6I, melodicrap poprap rap trap ,rock,0.611,0.478,-5.839,0.107,0.035,0.0,0.107,0.138,172.076
2mdEsXPu8ZmkHRRtAdC09e,cinnamon girl,lana del rey,00FQb4jTyendYWaN8pK0wa, artpop dancepop pop ,rock,0.292,0.334,-10.679,0.0378,0.839,0.345,0.151,0.148,67.836
1B4gJRq61xTs6r1O0Uq2iY,casper,takeoff,3EW0kQ1skZiK1NHg3Spt9J, atlhiphop rap southernhiphop trap vaportrap ,rock,0.921,0.607,-7.397,0.209,0.525,1.12e-06,0.123,0.753,140.071
1AqemxWsT0iGg5Lvkm16Bt,fukk sleep (feat. fka twigs),a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.798,0.412,-9.305,0.36,0.443,7.43e-05,0.219,0.304,135.959
543bCW2ruMPmxUBWirQ3MR,cross me (feat. chance the rapper & pnb rock),ed sheeran,6eUKZXaKkcviH0Ku9w2n3V, pop ukpop ,rock,0.746,0.787,-6.373,0.12,0.214,0.0,0.0669,0.607,95.005
1V4jC0vJ5525lEF1bFgPX2,shots,lmfao,3sgFRtyBnxXD5ESfmbK4dl, dancepop edm pop popdance poprap ,rock,0.825,0.856,-1.912,0.0476,0.00851,1.4e-06,0.127,0.207,128.016
