artist,genres
shotgun willy, memerap 
lil peep, emorap lgbtq+hiphop 
jackson c. frank, americanfolkrevival folk folkrock traditionalfolk 
johnny cash, arkansascountry outlawcountry 
simon & garfunkel, classicrock folk folkrock melancholia mellowgold rock 
parker mccollum, contemporarycountry texascountry 
blues traveler, alternativerock bluesrock jamband mellowgold poprock rock 
vundabar, bostonindie indiegaragerock 
blue's clues & you, preschoolchildren'smusic 
maroon 5, pop poprock 
joe bonamassa, bluesrock electricblues modernblues modernbluesrock 
maroon 5, pop poprock 
blues traveler, alternativerock bluesrock jamband mellowgold poprock rock 
the doors, acidrock albumrock classicrock psychedelicrock rock 
flofilz, chillhop jazzboombap lo-fibeats 
elton john, classicrock glamrock mellowgold pianorock softrock 
paul brown, smoothjazz 
laura marling, artpop britishfolk britishsinger-songwriter chamberpop indiefolk singer-songwriter stompandholler 
alan jackson, contemporarycountry country countryroad countryrock 
rustwooder, 
maroon 5, pop poprock 
brook sutton, 
lou donaldson, 
willie nelson, classiccountrypop country countryrock nashvillesound outlawcountry singer-songwriter texascountry 
mbtonio, 
everlast, raprock 
ricardo arjona, cantautor latin latinarenapop latinpop rockenespanol tropical 
steely dan, albumrock artrock classicrock countryrock folk folkrock mellowgold psychedelicrock rock rootsrock softrock yachtrock 
アトラスサウンドチーム, japanesevgm 
maroon 5, pop poprock 
g. love & special sauce, jamband reggaerock 
maroon 5, pop poprock 
blues traveler, alternativerock bluesrock jamband mellowgold poprock rock 
pretty ricky, dancepop hiphop hippop miamihiphop popr&b poprap r&b rap southernhiphop trap urbancontemporary 
sidney bechet, bebop bigband cooljazz dixieland jazz jazzclarinet neworleansjazz stride swing vocaljazz 
bruno mars, pop 
blues traveler, alternativerock bluesrock jamband mellowgold poprock rock 
the moody blues, albumrock artrock britishinvasion classicrock classicukpop countryrock fluterock folk folkrock hardrock mellowgold progressiverock psychedelicrock rock softrock symphonicrock 
stanton moore, modernfunk neworleansfunk 
aretha franklin, classicsoul jazzblues memphissoul soul southernsoul 
kayzer pape, 
eddie cochran, adultstandards brillbuildingpop rock-and-roll rockabilly 
umi, alternativer&b bedroomsoul chillr&b indier&b pop 
maroon 5, pop poprock 
svaneborg kardyb, danishjazz danishmodernjazz 
nina simone, adultstandards jazzblues soul souljazz torchsong vocaljazz 
albert king, blues bluesrock classicrock electricblues memphissoul soulblues traditionalblues 
haynes street mafia, 
harry chapin, countryrock folk folkrock mellowgold singer-songwriter softrock traditionalfolk 
joyner lucas, bostonhiphop hiphop poprap rap 
quiet riot, albumrock classicrock glammetal hardrock metal rock 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
alter bridge, alternativemetal numetal post-grunge rock 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
show me the body, noisepunk 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
toby fox, indiegamesoundtrack otacore 
quiet riot, albumrock classicrock glammetal hardrock metal rock 
sammy hagar, albumrock classicrock glammetal hardrock heartlandrock mellowgold metal rock softrock 
tenacious d, alternativemetal comedyrock comic comicmetal parody rock 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
dreamdrops, 
gary numan, artrock dancerock newromantic newwave newwavepop permanentwave post-punk synthpop 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
"it lives, it breathes", rhodeislandindie trancecore 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
lil darkie, memerap viralrap 
cat power, artpop freakfolk indierock melancholia singer-songwriter slowcore 
paris texas, 
sabaton, metal powermetal swedishmetal swedishpowermetal 
less than jake, modernskapunk poppunk punk ska skapunk skatepunk 
death cab for cutie, indiepop indierock modernrock poprock washingtonindie 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
jimmy edgar, bassmusic deconstructedclub escaperoom hyperpop 
wilco, alternativecountry alternativerock chicagoindie indiepop indierock poprock rock rootsrock stompandholler 
kamiyada+, darktrap emorap screamrap undergroundhiphop 
black sabbath, albumrock birminghammetal classicrock hardrock metal rock stonerrock ukdoommetal 
beneback, 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
freedom call, germanmetal germanpowermetal melodicmetal neoclassicalmetal powermetal symphonicmetal symphonicpowermetal 
in this moment, alternativemetal melodicmetalcore numetal 
super mario 64, 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
t. rex, albumrock artrock classicrock dancerock folkrock glamrock protopunk psychedelicrock rock 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metal church, hardrock melodicthrash metal oldschoolthrash rock speedmetal thrashmetal uspowermetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
metallica, hardrock metal oldschoolthrash rock thrashmetal 
dj khaled, dancepop hiphop miamihiphop pop poprap rap southernhiphop trap 
polo g, chicagorap 
jack harlow, deepundergroundhiphop kentuckyhiphop poprap rap 
falling in reverse, modernrock poppunk rapmetal rock 
pop smoke, brooklyndrill 
pop smoke, brooklyndrill 
jack harlow, deepundergroundhiphop kentuckyhiphop poprap rap 
k/da, k-popgirlgroup 
pop smoke, brooklyndrill 
sales, indiepop orlandoindie 
kid cudi, hiphop ohiohiphop rap 
lil uzi vert, melodicrap phillyrap rap trap 
pop smoke, brooklyndrill 
polo g, chicagorap 
french montana, hiphop poprap rap southernhiphop trap 
pop smoke, brooklyndrill 
pop smoke, brooklyndrill 
dababy, northcarolinahiphop rap 
pop smoke, brooklyndrill 
pop smoke, brooklyndrill 
the notorious b.i.g., eastcoasthiphop gangsterrap hardcorehiphop hiphop rap 
pop smoke, brooklyndrill 
drake, canadianhiphop canadianpop hiphop poprap rap torontorap 
justin bieber, canadianpop pop post-teenpop 
justin bieber, canadianpop pop post-teenpop 
g-unit, gangsterrap hardcorehiphop hiphop poprap queenshiphop rap southernhiphop trap 
popp hunna, phillyrap 
justin bieber, canadianpop pop post-teenpop 
glass animals, gauzepop indietronica shiverpop 
pop smoke, brooklyndrill 
pop smoke, brooklyndrill 
h.e.r., alternativer&b pop poprap r&b 
pop smoke, brooklyndrill 
yelawolf, alabamarap hiphop poprap rap southernhiphop 
pop smoke, brooklyndrill 
*nsync, boyband dancepop europop pop 
lil tjay, brooklyndrill melodicrap nycrap 
jack daily, 
jack harlow, deepundergroundhiphop kentuckyhiphop poprap rap 
three 6 mafia, crunk dirtysouthrap gangsterrap hiphop memphishiphop poprap rap southernhiphop tennesseehiphop trap 
popp hunna, phillyrap 
jackboys, rap trap 
pop smoke, brooklyndrill 
daddy yankee, latin latinhiphop reggaeton traplatino tropical 
gwen stefani, dancepop europop hippop pop popdance poprock post-teenpop urbancontemporary 
pop smoke, brooklyndrill 
jack stauber, pittsburghindie 
shawn mendes, canadianpop pop post-teenpop viralpop 
selena gomez, dancepop pop popdance post-teenpop 
lady gaga, dancepop pop popdance 
playboi carti, atlhiphop hiphop rap trap 
youngboy never broke again, batonrougerap trap 
bvdlvd, darktrap screamrap 
the weeknd, canadiancontemporaryr&b canadianpop pop 
the dead milkmen, alternativerock cowpunk hardcorepunk phillyindie punk 
daft punk, electro filterhouse 
3oh!3, dancepop electropowerpop modernrock pop poppunk poprap post-teenpop 
vampire weekend, baroquepop indiepop indierock modernrock rock 
bob marley & the wailers, reggae rootsreggae 
daft punk, electro filterhouse 
something corporate, dreamo emo neonpoppunk pianorock popemo poppunk poprock 
the weeknd, canadiancontemporaryr&b canadianpop pop 
bowling for soup, comic poppunk texaspoppunk 
daft punk, electro filterhouse 
gorillaz, alternativehiphop 
daft punk, electro filterhouse 
elliot root, hopebeat indiecoustica stompandholler 
daft punk, electro filterhouse 
punkinloveee, glitchcore 
daft punk, electro filterhouse 
lil chronic, 
daft punk, electro filterhouse 
patent pending, neonpoppunk pixie poppunk 
daft punk, electro filterhouse 
bad religion, punk skatepunk socalpoppunk 
daft punk, electro filterhouse 
death grips, alternativehiphop escaperoom experimentalhiphop hiphop industrialhiphop 
